,word,totalValue,positive,negative
85,irregular,-0.03152496740221977,0.001104574417695403,0.03262954205274582
86,hearty,0.07293347269296646,0.09166265279054642,0.018729180097579956
87,charlotte,0.026990046724677086,-0.007328895851969719,-0.034318942576646805
88,enmons,0.0,0.0,0.0
89,expectatio,0.0,0.0,0.0
90,ethnical,-0.06085755676031113,-0.01583782769739628,0.04501973092556
91,compile,-0.004037611652165651,0.007772966753691435,0.011810578405857086
92,bayonets,-0.034210070967674255,-0.008695564232766628,0.025514505803585052
93,disqualifies,-0.04143054038286209,-0.0021068211644887924,0.03932371735572815
94,trapped,-0.029287712648510933,0.02478623203933239,0.05407394468784332
95,precondition,0.001993101090192795,0.044734906405210495,0.0427418053150177
96,blackmun,-0.001338663510978222,-0.006757404189556837,-0.005418740678578615
