,word,totalValue,positive,negative,count
81,underwear,0.004463838413357735,0.028481798246502876,0.02401795983314514,2
82,nowak,-0.033631935715675354,-0.021142860874533653,0.012489072978496552,1
83,penetration,-0.006526486948132515,0.027905503287911415,0.03443199023604393,1
84,yaakov,-0.02279191091656685,-0.015574096702039242,0.007217813283205032,2
85,impound,-0.04668916389346123,0.014911241829395294,0.06160040572285652,1
86,uncertified,-0.02825796790421009,0.02854771353304386,0.05680568143725395,2
87,pentothal,-0.0213034488260746,0.020881984382867813,0.04218543320894241,1
88,vocation,0.01584503799676895,0.08169116079807281,0.06584612280130386,1
89,goebel,-0.011802206747233868,0.007310011424124241,0.01911221817135811,8
90,bouaphakeo,0.0,0.0,0.0,2
91,consultations,0.02509963884949684,0.011957336217164993,-0.013142303563654423,5
