,word,totalValue,positive,negative,count
111,vacancy,-0.01515029463917017,-0.017846213653683662,-0.0026959192473441362,19
112,recognize,0.046885065734386444,0.12479816377162933,0.07791309803724289,271
113,jun,-0.0031044399365782738,-0.018400443717837334,-0.01529600378125906,1
114,riddle,0.00018213456496596336,-0.007168089505285025,-0.007350224070250988,2
115,wildman,-0.02167234569787979,-0.036444779485464096,-0.01477243285626173,1
116,polling,-0.0003933357074856758,0.011014724150300026,0.011408059857785702,53
117,surreptitiously,-0.05533672496676445,-0.0011296052252873778,0.05420712009072304,1
118,morissette,-0.013968652114272118,0.006335971876978874,0.020304623991250992,10
119,indicted,-0.03423795849084854,-0.015973614528775215,0.018264345824718475,61
120,characterization,0.0044938549399375916,0.0694776177406311,0.06498376280069351,54
121,turns,0.03141603618860245,0.09378454089164734,0.06236850470304489,197
122,perpetuate,-0.040837403386831284,0.03127231076359749,0.07210971415042877,7
123,armband,-0.03307356685400009,0.0027294703759253025,0.035803038626909256,1
124,epperson,-0.030797336250543594,-0.03686955198645592,-0.006072215735912323,1
125,steeples,-0.017887994647026062,-0.020058484748005867,-0.0021704891696572304,1
126,realms,0.016719970852136612,0.035040128976106644,0.018320158123970032,4
127,inspection,0.010417401790618896,0.022942541167140007,0.01252513937652111,63
128,exerted,0.012221533805131912,0.05384555086493492,0.04162401705980301,4
129,aggressivity,-0.014293411746621132,-0.004726743791252375,0.00956666748970747,1
130,djl,0.0,0.0,0.0,1
131,avoiders,-0.04830372706055641,-0.02537624165415764,0.022927485406398773,1
132,nader,-0.0045117661356925964,0.03125734627246857,0.03576911240816116,1
133,vigilance,0.016890689730644226,0.06559557467699051,0.04870488494634628,4
134,statehood,0.015690460801124573,0.029045045375823975,0.013354583643376827,70
135,fates,-0.04828299582004547,0.02062716893851757,0.06891016662120819,2
136,rowboat,-0.02701614797115326,-0.003953126724809408,0.023063020780682564,1
137,reissued,0.00945610273629427,0.00249618012458086,-0.006959922611713409,3
138,backus,-0.004152856767177582,-0.03981701657176018,-0.035664159804582596,2
139,duchamp,-0.013870940543711185,-0.006749165244400501,0.007121775299310684,1
140,cl,0.005285879597067833,-0.02896246500313282,-0.03424834460020065,207
141,holthouse,-0.0413784421980381,-0.06895618140697479,-0.02757773920893669,1
142,exclud,0.0,0.0,0.0,3
143,devested,0.0,0.0,0.0,2
144,popenoe,-0.029166730120778084,-0.040985606610774994,-0.01181887648999691,1
145,rollback,-0.02806975319981575,0.012948687188327312,0.04101844131946564,1
146,belgium,0.018708176910877228,0.009653361514210701,-0.009054815396666527,2
147,inviolable,-0.023612795397639275,0.026928363367915154,0.05054115876555443,10
148,beneath,0.014124728739261627,0.0371459424495697,0.023021213710308075,24
149,metastasizes,-0.06650694459676743,-0.028669768944382668,0.03783717378973961,1
150,conrad,0.004145337268710136,-0.019610483199357986,-0.023755820468068123,2
151,khartoum,-0.02916095033288002,0.00399900134652853,0.033159952610731125,1
152,diminishment,-0.043072983622550964,0.0056274221278727055,0.04870040714740753,2
153,riverside,0.020558692514896393,-0.021470800042152405,-0.0420294925570488,7
154,sandflats,0.0,0.0,0.0,1
155,hazards,-0.038035351783037186,0.017463844269514084,0.05549919605255127,33
156,abridges,-0.0555306151509285,-0.026820853352546692,0.028709761798381805,2
157,statuette,0.01782478764653206,0.021552586928009987,0.0037278002128005028,15
158,eme,-0.03505973517894745,-0.044341325759887695,-0.009281588718295097,3
159,overtaxing,-0.06666142493486404,-0.03175727277994156,0.034904152154922485,1
160,supplie,0.0,0.0,0.0,1
161,false,-0.03652133420109749,0.055056381970644,0.09157771617174149,396
162,catching,0.022868741303682327,0.07962983101606369,0.05676108971238136,1
163,apcc,-0.034670501947402954,-0.032364849001169205,0.002305651316419244,2
164,gaveled,-0.034257546067237854,-0.022030632942914963,0.012226913124322891,1
165,underst,0.0,0.0,0.0,1
166,staten,0.002540942281484604,-0.019092688336968422,-0.021633630618453026,1
167,counselling,-0.0036716200411319733,0.022795123979449272,0.026466744020581245,6
168,nokia,0.01587432436645031,0.0027785305865108967,-0.013095793314278126,1
169,grandfathered,-0.021809950470924377,-0.002267930656671524,0.019542019814252853,1
170,civilization,0.030911248177289963,0.06857181340456009,0.037660565227270126,14
171,folks,0.05606856197118759,0.14187553524971008,0.08580697327852249,7
172,portrayal,0.025955192744731903,0.09444122761487961,0.0684860348701477,6
173,prepositional,-0.026578780263662338,-0.019716111943125725,0.0068626683205366135,2
174,jackson,0.04316176846623421,0.03946296125650406,-0.003698806744068861,126
175,budgets,0.0035854000598192215,0.0284291822463274,0.02484378218650818,1
176,frieze,0.008318289183080196,-0.002328747883439064,-0.01064703706651926,1
177,mba,0.028390802443027496,-0.007622952573001385,-0.036013755947351456,28
178,aldini,0.0,0.0,0.0,1
179,hcvap,0.0,0.0,0.0,4
180,smoothly,0.058466315269470215,0.06213483214378357,0.0036685154773294926,5
181,behaves,-0.015060953795909882,0.040479626506567,0.05554058030247688,3
182,enigma,0.006784928496927023,0.011306547559797764,0.004521619062870741,1
183,custodians,-0.022335249930620193,0.011318816803395748,0.033654067665338516,3
184,emigrants,-0.010647364892065525,0.0038854125887155533,0.014532777480781078,1
185,paramedics,-0.02466905117034912,-0.0030068601481616497,0.021662190556526184,1
186,collecting,0.03423698619008064,0.0557766929268837,0.021539706736803055,180
187,runoffs,-0.024483565241098404,-0.017343366518616676,0.007140197791159153,1
188,earle,-0.013133467175066471,-0.02168603613972664,-0.008552568964660168,1
189,unchartered,-0.02952377311885357,-0.011057237163186073,0.018466535955667496,2
190,nontaboo,0.0,0.0,0.0,1
191,caribbean,0.03051930107176304,0.027092985808849335,-0.0034263150300830603,1
192,malcolm,0.01792420633137226,-0.00281311571598053,-0.02073732204735279,1
193,digitally,0.013066875748336315,0.026713484898209572,0.013646609149873257,3
194,turtle,0.0012112585827708244,-0.005971761420369148,-0.007183020003139973,1
195,inspecting,-0.02418818138539791,0.0007834623684175313,0.024971643462777138,5
196,predefined,-0.025558924302458763,-0.022022193297743797,0.0035367312375456095,2
197,coda,0.0040919180028140545,0.010351160541176796,0.0062592425383627415,1
198,bellendorsed,0.0,0.0,0.0,1
199,chanting,0.006703168153762817,0.05449121072888374,0.047788042575120926,1
200,marginal,0.01191961020231247,0.040827035903930664,0.028907425701618195,19
201,allsolicitations,0.0,0.0,0.0,1
202,mouse,0.02718222886323929,0.03863655775785446,0.011454329825937748,1
203,adopters,-0.0007847100496292114,0.028837332502007484,0.029622042551636696,1
204,helms,-0.004648339003324509,0.02380560152232647,0.028453940525650978,4
205,injur,0.0,0.0,0.0,1
206,substitution,-0.0161008108407259,0.013104252517223358,0.029205063357949257,20
207,hindering,-0.06349894404411316,0.028904106467962265,0.09240305423736572,1
208,larry,0.03027508407831192,0.01516238134354353,-0.015112703666090965,14
209,oliveira,-0.02108580991625786,-0.03203510865569115,-0.010949297808110714,17
210,staub,-0.04174470901489258,-0.04201113060116768,-0.0002664228668436408,2
211,cycle,0.019905952736735344,0.03782045841217041,0.017914505675435066,28
212,grass,0.0354548916220665,0.048080239444971085,0.012625345960259438,1
213,deb,-0.01888331025838852,-0.028969667851924896,-0.010086357593536377,2
214,ungainly,-0.024743137881159782,0.016133049502968788,0.04087618738412857,1
215,mattress,-0.012576617300510406,-0.006280963774770498,0.006295653060078621,1
216,elevated,0.02716742642223835,0.022291453555226326,-0.004875972867012024,16
217,vaporize,-0.041853178292512894,-0.010343964211642742,0.03150921314954758,1
218,strongman,-0.009260658174753189,0.011629369109869003,0.020890027284622192,1
219,counterarguments,-0.014980869367718697,0.00933927297592163,0.024320142343640327,9
220,forces,0.01567026600241661,0.06136045232415199,0.04569018632173538,80
221,quitting,-0.03728070110082626,0.040448568761348724,0.07772926986217499,4
222,screening,0.0204620324075222,0.042973339557647705,0.022511307150125504,27
223,verrilli,-0.03184383362531662,-0.04967232421040535,-0.01782848872244358,2
224,california,0.04653110355138779,0.030347373336553574,-0.016183732077479362,632
225,chogha,-0.06432735174894333,-0.06288986653089523,0.0014374866150319576,2
